year,authors,title,venue,doi,paper_url,slides
2020,"栗林雅希*, 粥川青汰*, 髙木啓伸, 浅川智恵子, 森島繁生 (* - equal contribution)","LineChaser: 視覚障碍者が列に並ぶためのスマートフォン型支援システム.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2020; 査読あり・ロング口頭発表; WISS最優秀論文賞)",,,
2021,"栗林雅希, 粥川青汰, Jayakorn Vongkulbhisal, 浅川智恵子, 佐藤大介, 髙木啓伸, 森島繁生","Corridor-Walker: 視覚障害者が障害物を回避し交差点を認識するためのスマートフォン型屋内歩行支援システム.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2021; 査読あり・ロング口頭発表)",,,
2022,"三浦悠輔, Wu Erwin, 栗林雅希, 小池英樹, 森島繁生","視覚障害者単独でのスキーシミュレータ利用のためのフィードバックシステム.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2022; ポスター発表)",,,
2023,"三浦悠輔, Wu Erwin, 栗林雅希, 小池英樹, 森島繁生","視覚障害者がスキーシミュレータを用いるための聴覚フィードバックの検討.","インタラクション 2023 (査読あり・口頭発表)",,,
2023,"久保田雅也*, 栗林雅希*, 粥川青汰, 髙木啓伸, 浅川智恵子, 森島繁生 (* - equal contribution)","フロアマップ解析と交差点検出を利用した視覚障害者のための案内システム.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2023; ポスター発表)",,,
2023,"神庭有花*, 栗林雅希*, 粥川青汰, 佐藤大介, 髙木啓伸, 浅川智恵子, 森島繁生 (* - equal contribution)","ショッピングセンターにおける散策体験向上を目的とした大規模言語モデルを用いた視覚障害者のためのナビゲーションシステム.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2023; ポスター発表)",,,
2024,"久保田雅也*, 栗林雅希*, 粥川青汰, 髙木啓伸, 浅川智恵子, 森島繁生 (* - equal contribution)","フロアマップ解析と交差点検出を用いた不慣れな屋内空間における視覚障害者のための案内システム.","情報処理学会第208回ヒューマンコンピュータインタラクション研究会 (HCI研究会)",,,
2024,"栗林雅希, 上原康平, Allan Wang, 森島繁生, 浅川智恵子","視覚障害者の探索を支援する事前準備した地図を必要としない案内ロボット.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2024; ポスター発表)",,,
2024,"三浦悠輔, 楊期蘭, 栗林雅希, 松本啓吾, 葛岡英明, 森島繁生","AIによる質問を利用したメール返信支援システムの評価.","インタラクティブシステムとソフトウェアに関するワークショップ (WISS 2024; ポスター発表; Helpfeel賞受賞)",,,
